,level_0,index,url,name,contentType,description,contentRating,genre,poster,releasedDate,actors,availableForOffline,numberOfSeasons,seasonStartDate,source,sourceLink,uniqId,scrapedAt
87,87,132,https://www.netflix.com/title/80241239,Locke & Key,TVSeries,"After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets.",18+,Fantasy TV Shows,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABYvNM4ox3cKViyaWpXy4S8sumY-DhEZHxOqKe4onCLT4nLosp6fu1BX_FFmEPfHzijPnf5ZHNhl3YKajFLBaufTlK8VU.jpg?r=d38,2020-2-7,"Darby Stanchfield, Connor Jessup, Emilia Jones, Jackson Robert Scott, Petrice Jones, Laysla De Oliveira, Griffin Gluck, Aaron Ashmore, Brendan Hines, Hallea Jones, Sherri Saum, Bill Heck, Genevieve Kang, Kevin Alves, Thomas Mitchell Barnet, Eric Graise, Felix Mallard, Martin Roach, Asha Bromfield, Steven Williams, Coby Bird, Jesse Camacho, Joy Tanner, Liyou Abere",Available to download,2.0,2020-2-7,Netflix,https://netflix.com,4e7da5ff-b7a0-5fec-9c26-6282cff03257,05/03/2022 14:56:38
88,88,133,https://www.netflix.com/title/80225312,Undercover,TVSeries,The lines begin to blur for a pair of undercover cops as they try to infiltrate a drug kingpin's operation by posing as a couple and moving in next door.,18+,TV Thrillers,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABYzZVhfFCPSgFIUOGA9s_RbD1ofDzedzfqo3r9SSjd6gGieyKGqakVT9abLU8jBU8OwssgX8wfyjALAX7iTSd7Qw7v8c.jpg?r=249,2019-5-3,"Tom Waes, Frank Lammers, Nazmiye Oral, Murat Seven, Gökhan Girginol, Gökhan Kizilbuga, Elise Schaap, Yannick van de Velde, Jeroen Van der Ven, Manou Kersting, Ruth Becquart, Sebastien Dewaele, Anna Drijver, Emma Verlinden, Raymond Thiry, Wim Willaert",Available to download,3.0,2019-5-3,Netflix,https://netflix.com,85dd2f1a-c256-5deb-9bc2-748938173964,05/03/2022 14:56:38
89,89,136,https://www.netflix.com/title/80998491,After Life,TVSeries,"Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",18+,TV Dramas,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABS0nZtyGr5fq24Ul0wZOtBOC974Td56ybtYTBT7IuN-rpDPOvDiegh01bY3sEyk1-bYRKM8EHUAjSwElcJOaiLNq6Hgf.jpg?r=2a9,2019-3-8,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman, Penelope Wilton, Jo Hartley, Paul Kaye, Roisin Conaty, Joe Wilkinson, David Earl, Ethan Lawrence, Kath Hughes",Available to download,3.0,2019-3-8,Netflix,https://netflix.com,5102c921-1ef9-5651-a1d8-dac9b82d4e22,05/03/2022 14:56:42
90,90,137,https://www.netflix.com/title/81090319,Dark Desire,TVSeries,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her.",18+,TV Mysteries,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABQrb3_YmFcanHwchgjvmeE1haYwqoMyMsSWjh8mn7xa7588gtHw-DRduJnzuEx_HZoRZZdkPlX-jcwmK6YwpKOO-I3BB.jpg?r=d2a,2020-7-15,"Maite Perroni, Erik Hayser, Alejandro Speitzer, Jorge Poza, Catherine Siachoque, Arturo Barba, Regina Pavón, Ariana Saavedra, María Fernanda Yepes, Paulina Matos, Leticia Huijara, Claudia Pineda, Esteban Soberanes, Claudia Ríos, Samantha Orozco, Fabián Merlo, Eligio Meléndez, Carmen Beato, Carlos Torres, Toño Valdés",Available to download,2.0,2020-7-15,Netflix,https://netflix.com,e3f8c1a9-21b7-514c-a791-3de639fd40b6,05/03/2022 14:56:42
91,91,138,https://www.netflix.com/title/81008305,Inventing Anna,TVSeries,"Audacious entrepreneur or con artist? A journalist chases down the story of Anna Delvey, who convinced New York's elite she was a German heiress.",18+,TV Dramas,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABVoO-ng3B7u51tUlgUH8eoLENxRGPebl5MzjCpQ4h-vc71DtIuf9BQWf34gJ898jv0xDXUnqIst99VDnLZ6Q3Revjret.jpg?r=a01,2022-2-11,"Anna Chlumsky, Julia Garner, Arian Moayed, Alexis Floyd, Anders Holm, Terry Kinney, Katie Lowes, Jeff Perry, Anna Deavere Smith, Laverne Cox",Available to download,1.0,2022-2-11,Netflix,https://netflix.com,ead8c75a-0d06-5c49-83ca-0d13a0a47836,05/03/2022 14:56:43
92,92,139,https://www.netflix.com/title/81517168,Twenty Five Twenty One,TVSeries,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.",13+,TV Dramas,https://occ-0-1492-2164.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABRB9IetIJrG7VSINOMhGNg975SKafr8MPCPSLJzKUfqYkAyfr9SxE4ibNw5rtVHEJw90zv1bNFRtdioOpxqkFFQZDhHw.jpg?r=82c,2022-2-12,"Kim Tae-ri, Nam Joo-hyuk, Kim Ji-yeon, Choi Hyun-wook, Lee Ju-myoung",Available to download,1.0,2022-2-12,Netflix,https://netflix.com,68bc2a70-5988-5bae-a136-5bb4decec7cc,05/03/2022 14:56:45
93,93,142,https://www.netflix.com/title/80044950,The OA,TVSeries,"Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission.",18+,TV Mysteries,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABUeCnjwPwLMef5F45KORxINf65zbD-Zkgs2pWkOrwAzu7p50J6OkEafcIJTcGxQCPnuRHb0T2cVBSNGUSxe9jdYNP6xT.jpg?r=227,2016-12-16,"Brit Marling, Jason Isaacs, Emory Cohen, Patrick Gibson, Kingsley Ben-Adir, Scott Wilson, Alice Krige, Phyllis Smith, Brendan Meyer, Brandon Perea, Ian Alexander, Will Brill, Paz Vega, Chloe Levine, Sharon Van Etten, Riz Ahmed",Available to download,2.0,2016-12-16,Netflix,https://netflix.com,9fbb15bf-9158-5893-8620-3326724cf49a,05/03/2022 14:56:57
94,94,143,https://www.netflix.com/title/81021929,Space Force,TVSeries,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military's newest agency — Space Force — ready for lift-off.,16+,TV Comedies,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABViN00f48m9NCj8J_cIEJT-SkSgg2Z7UH2NbZkjOwzDiEZbnjLt-bNZNY6rVBJO27UP4xwdShMXUoSTr8PEa0EuuwqUN.jpg?r=c83,2020-5-29,"Steve Carell, John Malkovich, Ben Schwartz, Diana Silvers, Tawny Newsome, Jimmy O. Yang, Don Lake, Tim Meadows, Lisa Kudrow, Fred Willard, Spencer House, Owen Daniels, Alex Sparrow, Hector Duran, Chris Gethard, Aparna Nancherla",Available to download,2.0,2020-5-29,Netflix,https://netflix.com,72e2a0af-02a1-5d25-9a1d-eb74cd82e6b8,05/03/2022 14:56:58
95,95,144,https://www.netflix.com/title/81123055,In From the Cold,TVSeries,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy.",18+,TV Thrillers,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABW4eCLMNkLZ_maU01SSnUVak-1oIs5XcyYHwnAcBmNwnSLWjx3Yh3SuNrrvHgXshjJFf04g1WnyvLebPqiaEQkrE4SsW.jpg?r=924,2022-1-28,"Margarita Levieva, Cillian O'Sullivan, Lydia Fleming, Charles Brice, Stasya Miloslavskaya, Alyona Khmelnitskaya, Anastasia Martin, Lola Mae Loughran",Available to download,1.0,2022-1-28,Netflix,https://netflix.com,030c5bef-bf17-5e3c-874a-5248a0fc798c,05/03/2022 14:56:58
96,96,145,https://www.netflix.com/title/81036622,Toy Boy,TVSeries,"After seven years in a Málaga prison, a male stripper is released pending retrial and sets out to prove his lover framed him for her husband's murder.",18+,TV Thrillers,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABTblRcHvEy4kbOq8aKh5lyYZppGq-JPwzHCPj3GM-61kFSJd2Zw1mJSr7WX9MqOxN5y9fE3PiIUImDFLEKOsBjH4r0FX.jpg?r=951,2020-2-28,"Jesús Mosquera, Cristina Castaño, María Pedraza, Jose de la Torre, Carlo Costanzia, Raudel Raúl Martiato, Juanjo Almeida, Maxi Iglesias, José Manuel Seda, Álex Gadea, Javier Mora, Pedro Casablanc, Elisa Matilla, María Pujalte, Adelfa Calvo, Álex González, Federica Sabatini, Miriam Díaz Aroca",Available to download,2.0,2020-2-28,Netflix,https://netflix.com,957197b0-7cec-58aa-9c78-62fc50e1fe74,05/03/2022 14:56:58
97,97,147,https://www.netflix.com/title/81435684,Arcane,TVSeries,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",16+,Fantasy TV Shows,https://occ-0-1492-1007.1.nflxso.net/dnm/api/v6/6AYY37jfdO6hpXcMjf9Yu5cnmO0/AAAABeUeIMTzAV2oCjzBfVSmV3IjCVnrxyohR7JUvGY0epzjl8_dgz9MX_NP_FBU8MW7TNEO45av3D4UJgg5slwB7tGO5XoQ.jpg?r=f3a,2021-11-7,"Hailee Steinfeld, Katie Leung, Kevin Alejandro, Jason Spisak, Ella Purnell, Toks Olagundoye, JB Blanc, Harry Lloyd, Shohreh Aghdashloo, Mick Wingert, Yuri Lowenthal, Josh Keaton, Mia Sinclair Jenness, Remy Hii",Available to download,1.0,2021-11-7,Netflix,https://netflix.com,2b0b2a1f-a3e4-55f5-96cb-8015d4ae8817,05/03/2022 14:56:59
